S,ID,E,N,RTK_true,depth_begin_cm,depth_end_cm,thickness,N,OC,pH,%CF,%sand,%silt,%clay,BD_f,BD_m,CaCO3_true,c_root %,f_root %,t_root%
1,A1A,521462.168,4784330.601,1,0,5,0.05,0.10,0.73,8.03,13,0.32,0.57,0.11,NaN,1314,1,0.54,0.21,0.75
1,A2A,521462.168,4784330.601,1,5,0,0.05,0.09,0.58,8.13,42,NaN,NaN,NaN,NaN,1385,1,0.74,0.11,0.85
1,A3A,521462.168,4784330.601,1,10,20,0.1,0.08,0.49,7.92,36,0.28,0.59,0.13,NaN,1436,1,0.48,0.17,0.65
1,A4A,521462.168,4784330.601,1,20,30,0.1,0.08,0.40,6.13,33,0.40,0.52,0.08,NaN,1507,1,0.62,0.02,0.64
1,A5A,521462.168,4784330.601,1,30,40,0.1,NaN,NaN,5.23,53,NaN,NaN,NaN,NaN,NaN,1,0.88,0.05,0.92
1,A6A,521462.168,4784330.601,1,40,50,0.1,0.03,0.24,8.47,51,NaN,NaN,NaN,NaN,1688,1,0.66,0.24,0.90
1,A1B,521462.168,4784330.601,1,0,5,0.05,0.11,0.64,NaN,22,NaN,NaN,NaN,NaN,1353,1,0.81,NaN,NaN
1,A2B,521462.168,4784330.601,1,5,0,0.05,0.06,0.42,NaN,15,NaN,NaN,NaN,NaN,1489,1,0.93,NaN,NaN
1,A3B,521462.168,4784330.601,1,10,20,0.1,0.06,0.37,NaN,21,NaN,NaN,NaN,NaN,1538,1,0.77,NaN,NaN
1,A4B,521462.168,4784330.601,1,20,30,0.1,0.08,0.49,NaN,40,NaN,NaN,NaN,NaN,1436,1,0.81,NaN,NaN
1,A5B,521462.168,4784330.601,1,30,40,0.1,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,1,0.72,0.17,0.89
1,A6B,521462.168,4784330.601,1,40,50,0.1,0.06,0.27,NaN,60,NaN,NaN,NaN,NaN,1155,1,0.80,0.04,0.85
1,A1C,521462.168,4784330.601,1,0,5,0.05,0.09,0.71,NaN,16,NaN,NaN,NaN,NaN,1324,1,0.72,NaN,NaN
1,A2C,521462.168,4784330.601,1,5,0,0.05,0.09,0.53,NaN,10,NaN,NaN,NaN,NaN,1413,1,0.50,NaN,NaN
1,A3C,521462.168,4784330.601,1,10,20,0.1,0.07,0.46,NaN,30,NaN,NaN,NaN,NaN,1459,1,0.85,NaN,NaN
1,A4C,521462.168,4784330.601,1,20,30,0.1,0.06,0.26,NaN,41,NaN,NaN,NaN,NaN,1658,1,0.79,NaN,NaN
1,A5C,521462.168,4784330.601,1,30,40,0.1,0.05,0.17,NaN,45,NaN,NaN,NaN,NaN,1762,1,0.66,0.05,0.71
1,A6C,521462.168,4784330.601,1,40,50,0.1,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,1,0.74,0.11,0.85
1,B1,521463.668,4784329.601,1,0,5,0.05,0.29,2.97,NaN,15,NaN,NaN,NaN,NaN,966,1,2.17,0.77,2.94
1,B2,521463.668,4784329.601,1,5,0,0.05,0.16,1.30,NaN,14,NaN,NaN,NaN,NaN,1156,1,0.93,0.32,1.25
1,B3,521463.668,4784329.601,1,10,20,0.1,0.11,0.60,NaN,19,NaN,NaN,NaN,NaN,1375,1,0.55,0.09,0.64
1,B4,521463.668,4784329.601,1,20,30,0.1,0.07,0.88,NaN,24,NaN,NaN,NaN,NaN,1260,1,0.53,0.08,0.61
1,C1,521461.124,4784351.938,1,0,5,0.05,0.08,0.67,NaN,30,NaN,NaN,NaN,NaN,1339,1,0.60,0.11,0.71
1,C2,521461.124,4784351.938,1,5,0,0.05,0.09,0.58,NaN,28,NaN,NaN,NaN,NaN,1384,1,0.63,0.12,0.75
1,C3,521461.124,4784351.938,1,10,20,0.1,0.08,0.53,NaN,29,NaN,NaN,NaN,NaN,1411,1,0.56,0.04,0.60
1,C4,521461.124,4784351.938,1,20,30,0.1,0.05,0.44,NaN,37,NaN,NaN,NaN,NaN,1475,1,0.40,0.06,0.46
1,D1,521461.495,4784351.415,1,0,5,0.05,0.09,0.70,NaN,35,NaN,NaN,NaN,NaN,1326,1,0.35,0.08,0.43
1,D2,521461.495,4784351.415,1,5,0,0.05,0.07,0.68,NaN,29,NaN,NaN,NaN,NaN,1334,1,0.43,0.33,0.76
1,D3,521461.495,4784351.415,1,10,20,0.1,0.08,0.56,NaN,26,NaN,NaN,NaN,NaN,1395,1,0.50,0.03,0.52
1,D4,521461.495,4784351.415,1,20,30,0.1,0.10,0.51,NaN,27,NaN,NaN,NaN,NaN,1422,1,0.48,0.05,0.53
1,E1,521470.666,4784326.809,1,0,5,0.05,0.11,0.90,NaN,23,NaN,NaN,NaN,NaN,1253,1,0.42,0.10,0.53
1,E2,521470.666,4784326.809,1,5,0,0.05,0.08,0.76,NaN,18,NaN,NaN,NaN,NaN,1302,1,0.36,0.11,0.47
1,E3,521470.666,4784326.809,1,10,20,0.1,0.11,0.75,NaN,19,NaN,NaN,NaN,NaN,1307,1,0.60,0.08,0.68
1,E4,521470.666,4784326.809,1,20,30,0.1,0.07,0.66,NaN,43,NaN,NaN,NaN,NaN,1345,1,0.40,0.14,0.53
1,F1,521469.647,4784327.124,1,0,5,0.05,0.12,0.82,NaN,20,NaN,NaN,NaN,NaN,1280,1,0.41,0.12,0.53
1,F2,521469.647,4784327.124,1,5,0,0.05,0.13,1.31,NaN,15,NaN,NaN,NaN,NaN,1155,1,0.62,0.13,0.75
1,F3,521469.647,4784327.124,1,10,20,0.1,0.06,0.51,NaN,19,NaN,NaN,NaN,NaN,1423,1,0.69,0.06,0.75
1,F4,521469.647,4784327.124,1,20,30,0.1,0.06,0.52,NaN,27,NaN,NaN,NaN,NaN,1420,1,0.48,0.07,0.55
1,G1,521473.742,4784307.148,1,0,5,0.05,0.17,1.73,NaN,16,NaN,NaN,NaN,NaN,1085,1,0.68,0.35,1.04
1,G2,521473.742,4784307.148,1,5,0,0.05,0.15,1.52,NaN,9,NaN,NaN,NaN,NaN,1116,1,0.73,0.15,0.88
1,G3,521473.742,4784307.148,1,10,20,0.1,0.05,1.01,NaN,11,NaN,NaN,NaN,NaN,1222,1,0.59,0.07,0.66
1,G4,521473.742,4784307.148,1,20,30,0.1,0.04,0.76,NaN,28,NaN,NaN,NaN,NaN,1301,1,0.49,0.06,0.54
1,H1,521473.013,4784308.285,1,0,5,0.05,0.18,2.08,NaN,9,NaN,NaN,NaN,NaN,1043,1,1.17,0.61,1.78
1,H2,521473.013,4784308.285,1,5,0,0.05,0.12,1.76,NaN,8,NaN,NaN,NaN,NaN,1081,1,1.29,0.40,1.69
1,H3,521473.013,4784308.285,1,10,20,0.1,0.05,0.89,NaN,14,NaN,NaN,NaN,NaN,1256,1,0.66,0.13,0.79
1,H4,521473.013,4784308.285,1,20,30,0.1,0.03,0.78,NaN,18,NaN,NaN,NaN,NaN,1295,1,0.63,0.06,0.69
1,I1,521447.685,4784330.452,1,0,5,0.05,0.06,1.09,NaN,38,NaN,NaN,NaN,NaN,1203,1,0.59,0.22,0.80
1,I2,521447.685,4784330.452,1,5,0,0.05,0.03,0.72,NaN,18,NaN,NaN,NaN,NaN,1317,1,0.84,0.17,1.02
1,I3,521447.685,4784330.452,1,10,20,0.1,0.01,0.44,NaN,23,NaN,NaN,NaN,NaN,1470,1,1.46,0.15,1.61
1,I4,521447.685,4784330.452,1,20,30,0.1,0.03,0.56,NaN,45,NaN,NaN,NaN,NaN,1394,1,0.61,0.08,0.69
1,J1,521446.815,4784329.933,1,0,5,0.05,0.05,0.51,NaN,27,NaN,NaN,NaN,NaN,1428,1,0.44,0.01,0.45
1,J2,521446.815,4784329.933,1,5,0,0.05,0.02,0.37,NaN,13,NaN,NaN,NaN,NaN,1536,1,0.40,0.00,0.40
1,J3,521446.815,4784329.933,1,10,20,0.1,0.03,0.34,NaN,19,NaN,NaN,NaN,NaN,1563,1,0.42,0.02,0.44
1,J4,521446.815,4784329.933,1,20,30,0.1,0.03,0.40,NaN,45,NaN,NaN,NaN,NaN,1507,1,NaN,0.01,NaN
2,A1A,517760.713,4782049.94,1,0,5,0.05,0.13,1.41,6.04,13,0.67,0.25,0.08,NaN,1348,0,2.04,1.71,3.75
2,A2A,517760.713,4782049.94,1,5,0,0.05,0.09,0.85,6.41,18,0.64,0.28,0.09,NaN,1453,0,0.49,0.41,0.90
2,A3A,517760.713,4782049.94,1,10,20,0.1,0.10,0.87,6.86,11,0.56,0.28,0.16,NaN,1448,0,0.89,0.15,1.04
2,A4A,517760.713,4782049.94,1,20,30,0.1,0.10,0.77,6.71,6,0.52,0.26,0.23,NaN,1473,0,0.03,0.06,0.09
2,A5A,517760.713,4782049.94,1,30,40,0.1,NaN,NaN,6.52,12,NaN,NaN,NaN,NaN,NaN,0,0.16,0.04,0.20
2,A6A,517760.713,4782049.94,1,40,50,0.1,NaN,NaN,6.95,30,NaN,NaN,NaN,NaN,NaN,0,0.06,0.04,0.10
2,A1B,517760.713,4782049.94,1,0,5,0.1,0.11,1.08,NaN,13,NaN,NaN,NaN,NaN,1402,0,1.30,0.81,2.11
2,A2B,517760.713,4782049.94,1,5,0,0.05,0.11,0.86,NaN,30,NaN,NaN,NaN,NaN,1451,0,0.03,0.30,0.34
2,A3B,517760.713,4782049.94,1,10,20,0.05,0.07,0.66,NaN,70,NaN,NaN,NaN,NaN,1508,0,0.03,0.49,0.52
2,A4B,517760.713,4782049.94,1,20,30,0.1,0.03,0.26,NaN,56,NaN,NaN,NaN,NaN,1732,0,0.06,0.24,0.30
2,A5B,517760.713,4782049.94,1,30,40,0.1,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN,0,0.05,0.09,0.14
2,A6B,517760.713,4782049.94,1,40,50,0.1,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,0,0.08,0.11,0.19
2,A1C,517760.713,4782049.94,1,0,5,0.05,0.14,1.20,NaN,21,NaN,NaN,NaN,NaN,1379,0,1.88,1.54,3.42
2,A2C,517760.713,4782049.94,1,5,0,0.05,0.10,0.99,NaN,27,NaN,NaN,NaN,NaN,1419,0,0.56,NaN,NaN
2,A3C,517760.713,4782049.94,1,10,20,0.1,0.10,0.82,NaN,15,NaN,NaN,NaN,NaN,1461,0,0.08,0.07,0.15
2,A4C,517760.713,4782049.94,1,20,30,0.1,0.10,0.63,NaN,17,NaN,NaN,NaN,NaN,1517,0,0.02,0.06,0.08
2,A5C,517760.713,4782049.94,1,30,40,0.1,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,0,0.06,0.08,0.14
2,A6C,517760.713,4782049.94,1,40,50,0.1,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,0,0.01,0.03,0.04
2,B1,517761.713,4782048.69,1,0,5,0.05,0.10,1.27,NaN,18,NaN,NaN,NaN,NaN,1368,0,0.98,0.21,1.19
2,B2,517761.713,4782048.69,1,5,0,0.05,0.09,1.13,NaN,17,NaN,NaN,NaN,NaN,1392,0,0.47,0.03,0.50
2,B3,517761.713,4782048.69,1,10,20,0.1,0.07,0.82,NaN,41,NaN,NaN,NaN,NaN,1461,0,0.39,0.03,0.42
